Cond,Item,Sentence,Verb,Arg,Subject_Token,Verb_Token,   
caus.cos.intr,112,The hem was fraying by the seam on the dress.,Causative,Intrans,hem,fray,"“hem fray_INF"""
caus.cos.tran,112,The bride was fraying the hem at the seam.,Causative,Trans,bride,fray,"“bride fray_INF"""
caus.cos.intr,113,The popsicles were freezing in a tray in the cooler.,Causative,Intrans,popsicles,freeze,"“popsicles freeze_INF"""
caus.cos.tran,113,The dry ice was freezing the popsicles in the cooler.,Causative,Trans,dry,freeze,"“dry freeze_INF"""
caus.cos.intr,114,The vegetables were growing in the garden next to the daffodils.,Causative,Intrans,vegetables,grow,"“vegetables grow_INF"""
caus.cos.tran,114,The gardener was growing some vegetables in the garden.,Causative,Trans,gardener,grow,"“gardener grow_INF"""
caus.cos.intr,115,The machine was halting at the car factory by the train station.,Causative,Intrans,machine,halt,"“machine halt_INF"""
caus.cos.tran,115,The manager was halting the machine in the car factory.,Causative,Trans,manager,halt,"“manager halt_INF"""
caus.cos.intr,189,The injury was healing under the bandage in the hospital.,Causative,Intrans,injury,heal,"“injury heal_INF"""
caus.cos.tran,189,The nurse was healing the patients at the hospital.,Causative,Trans,nurse,heal,"“nurse heal_INF"""
caus.cos.intr,183,The food was heating in the oven at the restaraunt.,Causative,Intrans,food,heat,"“food heat_INF"""
caus.cos.tran,183,The cook was heating some food in the oven.,Causative,Trans,cook,heat,"“cook heat_INF"""
caus.act.intr,268,The babysitter was humming in the nursery at the house.,Activity,Intrans,babysitter,hum,"“babysitter hum_INF"""
caus.act.tran,268,The babysitter was humming a lullaby in the nursery.,Activity,Trans,babysitter,hum,"“babysitter hum_INF"""
caus.cos.intr,153,The wildfires were igniting at the campsites in the forest.,Causative,Intrans,wildfires,ignite,"“wildfires ignite_INF"""
caus.cos.tran,153,The embers were igniting some wildfires in the forest. ,Causative,Trans,embers,ignite,"“embers ignite_INF"""
caus.cos.intr,117,The test scores were improving at the school,Causative,Intrans,test,improve,"“test improve_INF"""
caus.cos.tran,117,The principal was improving the scores at the school.,Causative,Trans,principal,improve,"“principal improve_INF"""
caus.cos.intr,145,The moonwalk was inflating at the carnival near the church.,Causative,Intrans,moonwalk,inflate,"“moonwalk inflate_INF"""
caus.cos.tran,145,The mayor was inflating the float at the carnival.,Causative,Trans,mayor,inflate,"“mayor inflate_INF"""
caus.act.intr,284,The baker was kneading at the bakery across the street.,Activity,Intrans,baker,knead,"“baker knead_INF"""
caus.act.tran,284,The baker was kneading some dough at the bakery.,Activity,Trans,baker,knead,"“baker knead_INF"""
caus.act.intr,260,The associate was knitting in the break room at the company.,Activity,Intrans,associate,knit,"“associate knit_INF"""
caus.act.tran,260,The associate was knitting a sweater in the break room.,Activity,Trans,associate,knit,"“associate knit_INF"""
caus.act.intr,250,The landscaper was mowing at the park by the lake.,Activity,Intrans,landscaper,mow,"“landscaper mow_INF"""
caus.act.tran,250,The landscaper was mowing the field by the park.,Activity,Trans,landscaper,mow,"“landscaper mow_INF"""
caus.cos.intr,187,The parachute was opening on the ground near the plane.,Causative,Intrans,parachute,open,"“parachute open_INF"""
caus.cos.tran,187,The skydiver was opening a parachute on the ground.,Causative,Trans,skydiver,open,"“skydiver open_INF"""
caus.act.intr,218,The couple was packing in the closet near the bathroom.,Activity,Intrans,couple,pack,"“couple pack_INF"""
caus.act.tran,218,The couple was packing a suitcase in the closet.,Activity,Trans,couple,pack,"“couple pack_INF"""
caus.act.intr,254,The handyman was painting in the garage at the auto body shop.,Activity,Intrans,handyman,paint,"“handyman paint_INF"""
caus.act.tran,254,The handyman was painting a car at the auto body shop.,Activity,Trans,handyman,paint,"“handyman paint_INF"""
caus.act.intr,220,The child was playing on the playset in the park.,Activity,Intrans,child,play,"“child play_INF"""
caus.act.tran,220,The child was playing some games by the swingset.,Activity,Trans,child,play,"“child play_INF"""
caus.act.intr,257,The pianist was playing in a concert in Los Angeles.,Activity,Intrans,pianist,play,"“pianist play_INF"""
caus.act.tran,257,The pianist was playing a composition at the music competition.,Activity,Trans,pianist,play,"“pianist play_INF"""
caus.act.intr,221,The farmer was plowing in the field by the silo.,Activity,Intrans,farmer,plow,"“farmer plow_INF"""
caus.act.tran,221,The farmer was plowing the soil by the silo.,Activity,Trans,farmer,plow,"“farmer plow_INF"""
caus.act.intr,243,The neighbor was plowing at the corner by the fence.,Activity,Intrans,neighbor,plow,"“neighbor plow_INF"""
caus.act.tran,243,The neighbor was plowing the street by the school.,Activity,Trans,neighbor,plow,"“neighbor plow_INF"""
caus.act.intr,267,The shoeshine was polishing at the office by the market.,Activity,Intrans,shoeshine,polish,"“shoeshine polish_INF"""
caus.act.tran,267,The shoeshine was polishing some loafers at the office.,Activity,Trans,shoeshine,polish,"“shoeshine polish_INF"""
caus.cos.intr,101,The balloons were popping in the car outside of the the party.,Causative,Intrans,balloons,pop,"“balloons pop_INF"""
caus.cos.tran,101,The clown was popping the balloons in the car.,Causative,Trans,clown,pop,"“clown pop_INF"""
caus.act.intr,222,The professor was reading by the window on the plane.,Activity,Intrans,professor,read,"“professor read_INF"""
caus.act.tran,222,The professor was reading a book on the plane.,Activity,Trans,professor,read,"“professor read_INF"""
caus.act.intr,223,The poet was reciting in the library at the school.,Activity,Intrans,poet,recite,"“poet recite_INF"""
caus.act.tran,223,The poet was reciting a poem in the library.,Activity,Trans,poet,recite,"“poet recite_INF"""
caus.act.intr,258,The jeweler was sculpting on the second floor in the studio.,Activity,Intrans,jeweler,sculpt,"“jeweler sculpt_INF"""
caus.act.tran,258,The jewler was sculpting some artwork in the studio.,Activity,Trans,jewler,sculpt,"“jewler sculpt_INF"""
caus.act.intr,226,The seamstress was sewing at the studio in the museum.,Activity,Intrans,seamstress,sew,"“seamstress sew_INF"""
caus.act.tran,226,The seamstress was sewing a costume at the studio.,Activity,Trans,seamstress,sew,"“seamstress sew_INF"""
caus.act.intr,261,The father was shaving in the bathroom by the bedroom.,Activity,Intrans,father,shave,"“father shave_INF"""
caus.act.tran,261,The father was shaving a customer in the salon.,Activity,Trans,father,shave,"“father shave_INF"""
caus.cos.intr,102,The sweaters were shrinking in the dryer at the laundromat.,Causative,Intrans,sweaters,shrink,"“sweaters shrink_INF"""
caus.cos.tran,102,The maid was shrinking the laundry in the dryer.,Causative,Trans,maid,shrink,"“maid shrink_INF"""
caus.act.intr,224,The musician was singing at the music hall in New York.,Activity,Intrans,musician,sing,"“musician sing_INF"""
caus.act.tran,224,The musician was singing a ballad at the music hall.,Activity,Trans,musician,sing,"“musician sing_INF"""
caus.act.intr,245,The choir was singing at the concert in the auditorium.,Activity,Intrans,choir,sing,"“choir sing_INF"""
caus.act.tran,245,The choir was singing some folksongs at the spring concert.,Activity,Trans,choir,sing,"“choir sing_INF"""
caus.cos.intr,147,The paddle was sinking in the lake by the little island.,Causative,Intrans,paddle,sink,"“paddle sink_INF"""
caus.cos.tran,147,The fisherman was sinking a boat in the lake.,Causative,Trans,fisherman,sink,"“fisherman sink_INF"""
caus.act.intr,227,The inventor was sketching in the park near the university.,Activity,Intrans,inventor,sketch,"“inventor sketch_INF"""
caus.act.tran,227,The inventor was sketching a design in the park.,Activity,Trans,inventor,sketch,"“inventor sketch_INF"""
caus.act.intr,247,The cartoonist was sketching at the headquarters near the city.,Activity,Intrans,cartoonist,sketch,"“cartoonist sketch_INF"""
caus.act.tran,247,The cartoonist was sketching a caricature at the headquarters.,Activity,Trans,cartoonist,sketch,"“cartoonist sketch_INF"""
caus.cos.intr,184,The socks were soaking in the washtub next to the sink,Causative,Intrans,socks,soak,"“socks soak_INF"""
caus.cos.tran,184,The nanny was soaking some laundry in the washtub.,Causative,Trans,nanny,soak,"“nanny soak_INF"""
caus.cos.intr,154,The dancers were stretching at the studio near the gym.,Causative,Intrans,dancers,stretch,"“dancers stretch_INF"""
caus.cos.tran,154,The body-builder was stretching some muscles at the gym.,Causative,Trans,body,stretch,"“body stretch_INF"""
caus.act.intr,228,The minister was studying at Cambridge University in London.,Activity,Intrans,minister,study,"“minister study_INF"""
caus.act.tran,228,The minister was studying some books at Cambridge University.,Activity,Trans,minister,study,"“minister study_INF"""
caus.act.intr,229,The janitor was sweeping in the classroom by the cafeteria.,Activity,Intrans,janitor,sweep,"“janitor sweep_INF"""
caus.act.tran,229,The janitor was sweeping the floor at the school.,Activity,Trans,janitor,sweep,"“janitor sweep_INF"""
caus.act.intr,230,The mathematician was teaching at the convention in San Francisco.,Activity,Intrans,mathematician,teach,"“mathematician teach_INF"""
caus.act.tran,230,The mathematician was teaching a class in San Francisco.,Activity,Trans,mathematician,teach,"“mathematician teach_INF"""
caus.cos.intr,126,The shoes were tearing on the floor of the stage.,Causative,Intrans,shoes,tear,"“shoes tear_INF"""
caus.cos.tran,126,The dancer was tearing some shoes on the rough floor.,Causative,Trans,dancer,tear,"“dancer tear_INF"""
caus.cos.intr,146,The broth was thawing on the counter at the restaurant.,Causative,Intrans,broth,thaw,"“broth thaw_INF"""
caus.cos.tran,146,The cook was thawing the broth on the counter.,Causative,Trans,cook,thaw,"“cook thaw_INF"""
caus.act.intr,231,The editor was typing at the office near the lake.,Activity,Intrans,editor,type,"“editor type_INF"""
caus.act.tran,231,The editor was typing some articles at the office.,Activity,Trans,editor,type,"“editor type_INF"""
caus.act.intr,282,The housekeeper was vacuuming in the bedroom on the second floor.,Activity,Intrans,housekeeper,vacuum,"“housekeeper vacuum_INF"""
caus.act.tran,282,The housekeeper was vacuuming the carpet on the second floor.,Activity,Trans,housekeeper,vacuum,"“housekeeper vacuum_INF"""
caus.act.intr,281,The busboy was washing at the sink near the storage room.,Activity,Intrans,busboy,wash,"“busboy wash_INF"""
caus.act.tran,281,The busboy was washing some glasses at the sink.,Activity,Trans,busboy,wash,"“busboy wash_INF"""
caus.act.intr,235,The grandmother was weaving on the bench in the park.,Activity,Intrans,grandmother,weave,"“grandmother weave_INF"""
caus.act.tran,235,The class was weaving a basket in the pool.,Activity,Trans,class,weave,"“class weave_INF"""
caus.act.intr,234,The woodworker was whittling on the porch behind the house.,Activity,Intrans,woodworker,whittle,"“woodworker whittle_INF"""
caus.act.tran,234,The woodworker whittled some furniture on the front porch.,Activity,Trans,woodworker,whittle,"“woodworker whittle_INF"""
caus.act.intr,236,The journalist was writing at the cafe in the plaza.,Activity,Intrans,journalist,write,"“journalist write_INF"""
caus.act.tran,236,The journalist was writing an article at the cafe.,Activity,Trans,journalist,write,"“journalist write_INF"""
caus.act.intr,262,The third-grader was writing on the chalkboard in the classroom.,Activity,Intrans,third-grader,write,"“third-grader write_INF"""
caus.act.tran,262,The third-grader was writing a sentence on the chalkboard.,Activity,Trans,third-grader,write,"“third-grader write_INF"""
